subindustry,desks,naics,naics_description,digit4,digit2,innovation
"Hotels, Restaurants & Leisure",4417,721110,Hotels and motels,7211,72,N
Human Resource & Employment Services,2020,541612,Human resources consulting,5416,54,Y
Industrials & Manufacturing,166,551114,Managing Offices,5511,55,N
Insurance,2242,524210,Insurance agencies and brokerages,5242,52,N
Integrated Telecommunication Services,7268,517911,Telecommunications Resellers,5179,51,Y
Internet,36757,511210,Software publisher,5112,51,Y
Internet Software & Services,112547,511210,Software publisher,5112,51,Y
Investment Banking & Brokerage,1798,523930,Investment advisory,5239,52,N
Legal Services,432,541110,Offices of Lawyers,5411,54,N
Leisure Facilities,87,713940,Fitness and Recreational Sports Centers,7139,71,N
Machinery,39,423830,Industrial Machinery,4238,42,N
Marine,34,488510,Freight Transportation Arrangement,4885,48,N
Mechanical Engineering,175,541330,Engineering Services,5413,54,Y
Media,2890,512110,Motion picture and video production,5121,51,Y
Metals & Mining,527,551114,"Corporate, subsidiary, and regional managing offices",5511,55,N
Movies & Entertainment,1375,512110,Motion picture and video production,5121,51,Y
Oil & Gas,1340,551114,Managing Offices,5511,55,N
Packaged Foods & Meats,2,445299,Other specialty food stores,4452,44,N
Paper Products,99,424110,Printing and Writing Paper Merchant Wholesalers,4241,42,N
Payments,20,541990,All other professional scientific and technical services,5419,54,N
Pharmaceuticals,2616,325411,Medicinal and Botanical Manufacturing,3254,32,Y
Photography,279,541922,Commercial photography,5419,54,N
Public Relations,443,541820,Public Relations Agencies,5418,54,Y
Publishing,3929,519130,Internet publishing and broadcasting and web search portals,5191,51,Y
Real Estate,2699,531210,Offices of real estate agents and brokers,5312,53,N
Renewable Energy,1923,541990,All other professional scientific and technical services,5419,54,N
Research & Consulting Services,1037,541611,General Management Consulting,5416,54,Y
Restaurants,409,722511,Full service restaurants,7225,72,N
Semiconductors,13,334413,Semiconductor and Related Device Manufacturing,3344,33,Y
Shipping & Logistics,1744,488510,Freight Transportation Arrangement,4885,48,N
Specialized Consumer Services,1950,541990,All other professional scientific and technical services,5419,54,N
Sporting Goods,402,451110,Sporting goods stores,4511,45,N
"Technology Hardware, Storage & Peripherals",102,511210,Software publisher,5112,51,Y
Textiles,219,551114,Managing Offices,5511,55,N
Trading Companies & Distributors,199,813910,Business Associations,8139,81,N
Transportation,2044,485999,All other ground passenger transportation,4859,48,N
Utilities,536,541990,All other professional scientific and technical services,5419,54,N
Wireless Telecommunication Services,26,517312,Wireless Telecommunications Carriers,5173,51,Y
Casinos & Gaming,66,721120,Casino Hotels,7211,72,N
Homefurnishing Retail,177,442299,All other home furnishing stores,4422,44,N
Nanotechnology,8,541713,Research and Development in Nanotechnology,5417,54,Y
Industrial Machinery,5,551114,Managing Offices,5511,55,N
Retailing,1842,,,,,N
Consumer Goods,841,,,,,N
